"","INVENTORY_ID","PLOT_ID","TREE_ID","specie","dead","expan","dbh","g","height","slenderness","bearing","distance"
"24963","IFN3","1_1099_A_3E","IFN3_1_1099_1",21,0,14.1471060526129,27.4,589.645525152268,14,51.0948905109489,4,12.6
"24964","IFN3","1_1099_A_3E","IFN3_1_1099_2",21,0,14.1471060526129,25.2,498.759249683916,14,55.5555555555556,10,5.9
"24965","IFN3","1_1099_A_3E","IFN3_1_1099_3",21,0,14.1471060526129,23.9,448.627284914256,14.5,60.6694560669456,16,14.5
"24966","IFN3","1_1099_A_3E","IFN3_1_1099_4",21,0,14.1471060526129,24.75,481.105462466149,13.5,54.5454545454545,26,8.8
"24967","IFN3","1_1099_A_3E","IFN3_1_1099_5",71,0,14.1471060526129,38.2,1146.08441595609,16.5,43.1937172774869,50,3.6
"24968","IFN3","1_1099_A_3E","IFN3_1_1099_6",33,0,14.1471060526129,26.05,532.973157176917,17.5,67.1785028790787,55,14.4
"24969","IFN3","1_1099_A_3E","IFN3_1_1099_7",33,0,14.1471060526129,22.95,413.671176156844,16,69.7167755991285,108,12.6
"24970","IFN3","1_1099_A_3E","IFN3_1_1099_8",33,0,31.8309886183791,19.3,292.552961883916,15,77.720207253886,135,8.9
"24971","IFN3","1_1099_A_3E","IFN3_1_1099_9",71,0,31.8309886183791,14.25,159.484914554894,11.5,80.7017543859649,140,8
"24972","IFN3","1_1099_A_3E","IFN3_1_1099_10",21,0,14.1471060526129,31.8,794.226038754036,16.5,51.8867924528302,165,2.6
"24973","IFN3","1_1099_A_3E","IFN3_1_1099_11",71,0,31.8309886183791,14.1,156.145008865047,12,85.1063829787234,174,8.4
"24974","IFN3","1_1099_A_3E","IFN3_1_1099_12",71,0,31.8309886183791,13.15,135.813013910095,11.5,87.4524714828897,179,6.6
"24975","IFN3","1_1099_A_3E","IFN3_1_1099_13",71,0,31.8309886183791,14.2,158.367685667461,12,84.5070422535211,181,6.2
"24976","IFN3","1_1099_A_3E","IFN3_1_1099_14",71,0,14.1471060526129,37.35,1095.64810939812,16.5,44.1767068273092,223,9.9
"24977","IFN3","1_1099_A_3E","IFN3_1_1099_15",33,0,14.1471060526129,22.9,411.870650867256,17.5,76.4192139737991,224,13.9
"24978","IFN3","1_1099_A_3E","IFN3_1_1099_16",71,0,14.1471060526129,32.6,834.689752132272,18,55.2147239263804,237,8.4
"24979","IFN3","1_1099_A_3E","IFN3_1_1099_17",71,0,14.1471060526129,33.75,894.617595494906,16.5,48.8888888888889,237,7.3
"24980","IFN3","1_1099_A_3E","IFN3_1_1099_18",33,0,14.1471060526129,23.65,439.290864246869,14,59.1966173361522,261,14.7
"24981","IFN3","1_1099_A_3E","IFN3_1_1099_19",33,0,14.1471060526129,27.15,578.934657698936,16.5,60.7734806629834,283,14.8
"24982","IFN3","1_1099_A_3E","IFN3_1_1099_20",21,0,14.1471060526129,29.8,697.46498502347,14.5,48.6577181208054,299,7.4
"24983","IFN3","1_1099_A_3E","IFN3_1_1099_21",21,0,14.1471060526129,25,490.873852123405,14,56,309,10.6
"24984","IFN3","1_1099_A_3E","IFN3_1_1099_22",21,0,31.8309886183791,22.4,394.081382466304,12.5,55.8035714285714,309,2.1
"24985","IFN3","1_1099_A_3E","IFN3_1_1099_23",21,0,14.1471060526129,31.35,771.906986445689,14,44.6570972886762,311,12.9
"24986","IFN3","1_1099_A_3E","IFN3_1_1099_24",71,0,5.09295817894065,50.45,1998.99736897459,14.5,28.7413280475719,314,23.6
"24987","IFN3","1_1099_A_3E","IFN3_1_1099_25",33,0,14.1471060526129,31.9,799.229025054877,17,53.2915360501567,338,13.1
"24988","IFN3","1_1099_A_3E","IFN3_1_1099_26",33,0,14.1471060526129,38.8,1182.36981110505,18.5,47.680412371134,371,13.5
"24989","IFN3","1_1099_A_3E","IFN3_1_1099_27",33,0,14.1471060526129,23.4,430.052618349907,16,68.3760683760684,371,7.1
"24990","IFN3","1_1099_A_3E","IFN3_1_1099_28",21,0,31.8309886183791,21.35,358.002154335233,13.5,63.231850117096,380,4.5
"24991","IFN3","1_1099_A_3E","IFN3_1_1099_29",21,0,14.1471060526129,26.25,541.188421966054,13.5,51.4285714285714,389,10.7
"216667","IFN3","9_1491_A_1","IFN3_9_1491_1",21,0,14.1471060526129,25.2,498.759249683916,11.4,45.2380952380952,37,14.6
"216668","IFN3","9_1491_A_1","IFN3_9_1491_2",21,0,14.1471060526129,24.6,475.2915525616,9,36.5853658536585,48,13.4
"216669","IFN3","9_1491_A_1","IFN3_9_1491_3",21,0,14.1471060526129,28.45,635.703236949303,12.2,42.8822495606327,68,11.9
"216670","IFN3","9_1491_A_1","IFN3_9_1491_4",21,0,14.1471060526129,28.3,629.017535083382,9.4,33.2155477031802,84,12.3
"216671","IFN3","9_1491_A_1","IFN3_9_1491_5",21,0,14.1471060526129,27.65,600.454567376026,10,36.1663652802893,174,14.5
"216672","IFN3","9_1491_A_1","IFN3_9_1491_6",21,0,14.1471060526129,25.3,502.725510409073,11.3,44.6640316205534,205,13.7
"216673","IFN3","9_1491_A_1","IFN3_9_1491_7",21,0,14.1471060526129,27.45,591.799479615386,11.4,41.5300546448087,232,6.1
"216674","IFN3","9_1491_A_1","IFN3_9_1491_8",21,0,14.1471060526129,25.55,512.709884561263,12.2,47.7495107632094,285,8.1
"216675","IFN3","9_1491_A_1","IFN3_9_1491_9",21,0,14.1471060526129,28.8,651.44065264838,9.6,33.3333333333333,367,9
"216676","IFN3","9_1491_A_1","IFN3_9_1491_10",71,0,31.8309886183791,12.85,129.686908235595,12.5,97.2762645914397,390,7.2
"216677","IFN3","9_1491_A_1","IFN3_9_1491_11",71,0,31.8309886183791,15.75,194.82783190778,13.7,86.984126984127,394,6.8
"216678","IFN3","9_1491_A_1","IFN3_9_1491_12",71,0,31.8309886183791,13.55,144.20106629518,11.2,82.6568265682657,395,7.1
"216826","IFN3","9_1506_A_1","IFN3_9_1506_1",71,0,127.323954473516,9.75,74.6619129079699,8.1,83.0769230769231,6,3
"216827","IFN3","9_1506_A_1","IFN3_9_1506_2",71,0,127.323954473516,8.05,50.8957644835631,8,99.3788819875776,7,3.7
"216828","IFN3","9_1506_A_1","IFN3_9_1506_3",21,0,14.1471060526129,22.9,411.870650867256,8.4,36.6812227074236,7,11
"216829","IFN3","9_1506_A_1","IFN3_9_1506_4",21,0,14.1471060526129,23.2,422.732707467043,9,38.7931034482759,9,10.9
"216830","IFN3","9_1506_A_1","IFN3_9_1506_5",71,0,127.323954473516,12.25,117.85881189483,8.3,67.7551020408163,10,3.9
"216831","IFN3","9_1506_A_1","IFN3_9_1506_6",71,0,31.8309886183791,13.6,145.267244301992,10.1,74.2647058823529,17,3.1
"216832","IFN3","9_1506_A_1","IFN3_9_1506_7",21,0,14.1471060526129,23.4,430.052618349907,11.2,47.8632478632479,24,14.4
"216833","IFN3","9_1506_A_1","IFN3_9_1506_8",71,0,31.8309886183791,13.05,133.755270721994,8.4,64.367816091954,26,4.2
"216834","IFN3","9_1506_A_1","IFN3_9_1506_9",71,0,31.8309886183791,15.35,185.057478755115,9,58.6319218241042,30,9.1
"216835","IFN3","9_1506_A_1","IFN3_9_1506_10",21,0,31.8309886183791,20.6,333.291564619341,11,53.3980582524272,34,6.3
"216836","IFN3","9_1506_A_1","IFN3_9_1506_11",21,0,31.8309886183791,21.25,354.65635815916,12.1,56.9411764705882,48,7.6
"216837","IFN3","9_1506_A_1","IFN3_9_1506_12",21,0,31.8309886183791,17,226.980069221863,10.2,60,56,3.9
"216838","IFN3","9_1506_A_1","IFN3_9_1506_13",21,0,31.8309886183791,16.55,215.12252044997,10.9,65.8610271903323,60,2.3
"216839","IFN3","9_1506_A_1","IFN3_9_1506_14",71,0,31.8309886183791,17.3,235.061816323222,8.1,46.8208092485549,95,8.3
"216840","IFN3","9_1506_A_1","IFN3_9_1506_15",71,0,31.8309886183791,18,254.469004940773,9.8,54.4444444444444,120,3.5
"216841","IFN3","9_1506_A_1","IFN3_9_1506_16",71,0,31.8309886183791,16.1,203.583057934253,9.7,60.2484472049689,127,3.4
"216842","IFN3","9_1506_A_1","IFN3_9_1506_17",71,0,127.323954473516,9.7,73.8981131940659,9.8,101.030927835052,138,3.3
"216843","IFN3","9_1506_A_1","IFN3_9_1506_18",43,0,31.8309886183791,13,132.732289614169,6.3,48.4615384615385,145,9.7
"216844","IFN3","9_1506_A_1","IFN3_9_1506_19",21,0,31.8309886183791,17.85,250.245526317103,10.4,58.2633053221288,163,0.8
"216845","IFN3","9_1506_A_1","IFN3_9_1506_20",43,0,31.8309886183791,14.2,158.367685667461,6,42.2535211267606,190,11.5
"216846","IFN3","9_1506_A_1","IFN3_9_1506_21",43,0,127.323954473516,8.1,51.5299735005066,6.8,83.9506172839506,201,4.8
"216847","IFN3","9_1506_A_1","IFN3_9_1506_22",71,0,31.8309886183791,16.2,206.119894002026,10.6,65.4320987654321,214,4
"216848","IFN3","9_1506_A_1","IFN3_9_1506_23",71,0,31.8309886183791,15.3,183.853856069709,9.1,59.4771241830065,227,6.3
"216849","IFN3","9_1506_A_1","IFN3_9_1506_24",71,0,31.8309886183791,16.25,207.394202522139,9.3,57.2307692307692,229,5.8
"216850","IFN3","9_1506_A_1","IFN3_9_1506_25",43,0,14.1471060526129,40.6,1294.61891661782,8,19.7044334975369,231,11.8
"216851","IFN3","9_1506_A_1","IFN3_9_1506_26",21,0,31.8309886183791,16.15,204.849512472731,9.8,60.6811145510836,236,1.7
"216852","IFN3","9_1506_A_1","IFN3_9_1506_27",71,0,31.8309886183791,16.7,219.039693789914,9.7,58.0838323353293,253,4.6
"216853","IFN3","9_1506_A_1","IFN3_9_1506_28",71,0,14.1471060526129,24.25,461.863207462912,10.2,42.0618556701031,258,7.3
"216854","IFN3","9_1506_A_1","IFN3_9_1506_29",71,0,31.8309886183791,13.35,139.975624176102,10.3,77.1535580524345,267,4.7
"216855","IFN3","9_1506_A_1","IFN3_9_1506_30",71,0,14.1471060526129,25.75,520.768069717721,10.8,41.9417475728155,269,13.6
"216856","IFN3","9_1506_A_1","IFN3_9_1506_31",71,0,127.323954473516,8.25,53.4561624962388,7,84.8484848484848,272,4.9
"216857","IFN3","9_1506_A_1","IFN3_9_1506_32",21,0,31.8309886183791,15.4,186.265028431339,9.6,62.3376623376623,284,4.3
"216858","IFN3","9_1506_A_1","IFN3_9_1506_33",21,0,14.1471060526129,23.65,439.290864246869,12.8,54.122621564482,300,8.1
"216859","IFN3","9_1506_A_1","IFN3_9_1506_34",21,0,31.8309886183791,19.35,294.070743834681,11.6,59.9483204134367,302,3.5
"216860","IFN3","9_1506_A_1","IFN3_9_1506_35",71,0,14.1471060526129,28.05,617.953238456521,11.4,40.6417112299465,311,15.3
"216861","IFN3","9_1506_A_1","IFN3_9_1506_36",43,0,31.8309886183791,14.6,167.4154725098,9.1,62.3287671232877,329,3.9
"216862","IFN3","9_1506_A_1","IFN3_9_1506_37",21,0,31.8309886183791,16,201.061929829747,10.9,68.125,332,8.6
"216863","IFN3","9_1506_A_1","IFN3_9_1506_38",21,0,31.8309886183791,20.2,320.473866592695,10.7,52.970297029703,335,10.2
"216864","IFN3","9_1506_A_1","IFN3_9_1506_39",21,0,31.8309886183791,18.2,260.155287643771,11.4,62.6373626373626,350,4.2
"216865","IFN3","9_1506_A_1","IFN3_9_1506_40",71,0,31.8309886183791,12.85,129.686908235595,8.8,68.4824902723736,354,6.7
"216866","IFN3","9_1506_A_1","IFN3_9_1506_41",71,0,31.8309886183791,13.65,146.337349299621,10.3,75.4578754578755,355,6.2
"216867","IFN3","9_1506_A_1","IFN3_9_1506_42",71,0,31.8309886183791,14.9,174.366246255868,8.7,58.3892617449664,362,7.9
"216868","IFN3","9_1506_A_1","IFN3_9_1506_43",71,0,31.8309886183791,13.4,141.026094219646,7.1,52.9850746268657,364,7.7
"216869","IFN3","9_1506_A_1","IFN3_9_1506_44",71,0,14.1471060526129,26.9,568.321965016027,13.4,49.814126394052,371,16.1
"216870","IFN3","9_1506_A_1","IFN3_9_1506_45",21,0,31.8309886183791,13.9,151.746779150021,7.3,52.5179856115108,372,6.3
"518083","IFN3","19_20_A_1","IFN3_19_20_1",21,0,14.1471060526129,24.75,481.105462466149,6.5,26.2626262626263,6,12.3
"518084","IFN3","19_20_A_1","IFN3_19_20_2",21,0,31.8309886183791,22.4,394.081382466304,6,26.7857142857143,34,8.3
"518085","IFN3","19_20_A_1","IFN3_19_20_3",21,0,14.1471060526129,24.35,465.680242537024,7.5,30.8008213552361,83,5.3
"518086","IFN3","19_20_A_1","IFN3_19_20_4",21,0,31.8309886183791,16.5,213.824649984955,5.5,33.3333333333333,102,3
"518087","IFN3","19_20_A_1","IFN3_19_20_5",21,0,31.8309886183791,21.2,352.989350557349,7.5,35.377358490566,113,9.4
"518088","IFN3","19_20_A_1","IFN3_19_20_6",21,0,31.8309886183791,19.95,312.590432527593,8.5,42.6065162907268,130,7.9
"518089","IFN3","19_20_A_1","IFN3_19_20_7",21,0,14.1471060526129,28.7,646.924613208844,9.5,33.1010452961672,167,1.7
"518092","IFN3","19_20_A_1","IFN3_19_20_10",21,0,31.8309886183791,19.1,286.521103989023,7.5,39.2670157068063,230,3.8
"518093","IFN3","19_20_A_1","IFN3_19_20_11",21,0,31.8309886183791,18.65,273.179152688309,8,42.8954423592493,237,5.2
"518094","IFN3","19_20_A_1","IFN3_19_20_12",21,0,14.1471060526129,24.05,454.276261204493,8.5,35.3430353430353,246,6.8
"518095","IFN3","19_20_A_1","IFN3_19_20_13",21,0,31.8309886183791,17.35,236.422518641308,7.5,43.2276657060519,250,9.2
"518096","IFN3","19_20_A_1","IFN3_19_20_14",71,0,14.1471060526129,27,572.55526111674,11.5,42.5925925925926,278,11
"518097","IFN3","19_20_A_1","IFN3_19_20_15",71,0,31.8309886183791,14.95,175.538453014738,9,60.2006688963211,298,9.3
"518099","IFN3","19_20_A_1","IFN3_19_20_17",21,0,31.8309886183791,16.15,204.849512472731,8,49.5356037151703,324,10
"518100","IFN3","19_20_A_1","IFN3_19_20_18",21,0,31.8309886183791,20.25,322.062334378166,8.5,41.9753086419753,333,9
"518101","IFN3","19_20_A_1","IFN3_19_20_19",21,0,31.8309886183791,22,380.132711084365,8.5,38.6363636363636,346,8.7
"518103","IFN3","19_20_A_1","IFN3_19_20_21",71,0,14.1471060526129,28.4,633.470742669846,6.5,22.887323943662,390,6.8
"518104","IFN3","19_20_A_1","IFN3_19_20_22",21,0,14.1471060526129,24.75,481.105462466149,9,36.3636363636364,391,10.9
"748978","IFN3","25_2422_A_1","IFN3_25_2422_1",71,0,31.8309886183791,18.3,263.021990940171,19,103.825136612022,10,2.5
"748979","IFN3","25_2422_A_1","IFN3_25_2422_2",71,0,14.1471060526129,29,660.519855417254,24,82.7586206896552,15,15.2
"748980","IFN3","25_2422_A_1","IFN3_25_2422_3",71,0,14.1471060526129,24.55,473.361436575051,18.5,75.3564154786151,26,11.1
"748981","IFN3","25_2422_A_1","IFN3_25_2422_4",71,0,31.8309886183791,20.35,325.25105092156,19.7,96.8058968058968,38,9.3
"748982","IFN3","25_2422_A_1","IFN3_25_2422_5",71,0,14.1471060526129,38.45,1161.1346082622,22.2,57.7373211963589,80,9.3
"748983","IFN3","25_2422_A_1","IFN3_25_2422_6",71,0,127.323954473516,10.75,90.7625752576176,11,102.325581395349,88,4.8
"748984","IFN3","25_2422_A_1","IFN3_25_2422_7",71,0,31.8309886183791,19.6,301.718558450764,21.2,108.163265306122,100,4.9
"748985","IFN3","25_2422_A_1","IFN3_25_2422_8",71,0,31.8309886183791,14.2,158.367685667461,13.6,95.774647887324,109,4.2
"748986","IFN3","25_2422_A_1","IFN3_25_2422_9",71,0,31.8309886183791,21.35,358.002154335233,21.6,101.170960187354,119,8.9
"748987","IFN3","25_2422_A_1","IFN3_25_2422_10",71,0,127.323954473516,11.5,103.868907109313,13.5,117.391304347826,122,2.5
"748988","IFN3","25_2422_A_1","IFN3_25_2422_11",71,0,14.1471060526129,27,572.55526111674,23.2,85.9259259259259,125,16
"748990","IFN3","25_2422_A_1","IFN3_25_2422_13",71,0,14.1471060526129,26.85,566.211207451897,21,78.2122905027933,142,6.7
"748991","IFN3","25_2422_A_1","IFN3_25_2422_14",71,0,31.8309886183791,21.7,369.836141162224,17.2,79.2626728110599,154,5.2
"748992","IFN3","25_2422_A_1","IFN3_25_2422_15",71,0,31.8309886183791,19.7,304.805173232916,20,101.522842639594,157,8.6
"748993","IFN3","25_2422_A_1","IFN3_25_2422_16",71,0,14.1471060526129,27,572.55526111674,20.8,77.037037037037,160,10.8
"748995","IFN3","25_2422_A_1","IFN3_25_2422_18",71,0,31.8309886183791,18.85,279.06963891379,16.3,86.4721485411141,217,8.2
"748997","IFN3","25_2422_A_1","IFN3_25_2422_20",71,0,127.323954473516,8.3,54.1060794764502,9,108.433734939759,238,5.4
"748998","IFN3","25_2422_A_1","IFN3_25_2422_21",21,0,14.1471060526129,27.1,576.80426518072,18.5,68.2656826568266,252,8.1
"748999","IFN3","25_2422_A_1","IFN3_25_2422_22",71,0,31.8309886183791,13.5,143.138815279185,12,88.8888888888889,255,8.3
"749000","IFN3","25_2422_A_1","IFN3_25_2422_23",71,0,31.8309886183791,13.2,136.847775990371,10.5,79.5454545454545,268,7.3
"749003","IFN3","25_2422_A_1","IFN3_25_2422_26",71,0,31.8309886183791,19.3,292.552961883916,19.6,101.554404145078,337,10
"749004","IFN3","25_2422_A_1","IFN3_25_2422_27",71,0,31.8309886183791,13.5,143.138815279185,18,133.333333333333,338,9
"749005","IFN3","25_2422_A_1","IFN3_25_2422_28",71,0,14.1471060526129,24.65,477.225595538966,19.8,80.3245436105477,339,10.3
"749006","IFN3","25_2422_A_1","IFN3_25_2422_29",21,0,14.1471060526129,27.6,598.28490494964,21.4,77.536231884058,345,9.2
"749007","IFN3","25_2422_A_1","IFN3_25_2422_30",71,0,14.1471060526129,23.65,439.290864246869,21.5,90.9090909090909,352,8.4
"749008","IFN3","25_2422_A_1","IFN3_25_2422_31",21,0,31.8309886183791,18.4,265.90440219984,14,76.0869565217391,358,3.2
"749009","IFN3","25_2422_A_1","IFN3_25_2422_32",71,0,14.1471060526129,25.95,528.88908672725,19,73.2177263969171,363,15
"749010","IFN3","25_2422_A_1","IFN3_25_2422_33",71,0,14.1471060526129,25.8,522.792433483878,20,77.5193798449612,375,12
"749011","IFN3","25_2422_A_1","IFN3_25_2422_34",71,0,31.8309886183791,16.95,225.646855839495,18,106.194690265487,377,12.7
